index,year,month,transactions,date
0,2023,1,64146,2023-01-01
1,2023,2,63468,2023-02-01
2,2023,3,79691,2023-03-01
3,2023,4,56045,2023-04-01
4,2023,5,60810,2023-05-01
5,2023,6,79053,2023-06-01
6,2023,7,71573,2023-07-01
7,2023,8,79271,2023-08-01
8,2023,9,78023,2023-09-01
9,2023,10,76040,2023-10-01
10,2023,11,73730,2023-11-01
11,2023,12,71960,2023-12-01
12,2024,1,55991,2024-01-01
13,2024,2,61507,2024-02-01
14,2024,3,72663,2024-03-01
15,2024,4,64470,2024-04-01
16,2024,5,76786,2024-05-01
17,2024,6,75288,2024-06-01
18,2024,7,81247,2024-07-01
19,2024,8,87112,2024-08-01
20,2024,9,78810,2024-09-01
21,2024,10,94260,2024-10-01
22,2024,11,87256,2024-11-01
23,2024,12,81773,2024-12-01
24,2025,1,67108,2025-01-01
25,2025,2,73471,2025-02-01
26,2025,3,126691,2025-03-01
27,2025,4,35092,2025-04-01
28,2025,5,52270,2025-05-01
29,2025,6,58674,2025-06-01
30,2025,7,65405,2025-07-01
31,2025,8,64768,2025-08-01
32,2025,9,54768,2025-09-01
33,2025,10,57017,2025-10-01
34,2025,11,50437,2025-11-01
35,2025,12,50533,2025-12-01
